sep=	
Vendas	quero começar	
Vendas	quero comprar	
Vendas	quero trabalhar	
Vendas	quero abrir meu negocio	
Vendas	tenho um negocio	
Vendas	quero vender meus produtos	
Vendas	quero vender	
Vendas	vender	
Vendas	quero começar a vender	
Vendas	vendas	
Saudação	joia?	
Saudação	olá	
Saudação	oi	
Saudação	hello	
Saudação	boa noite	
Saudação	boa tarde	
Saudação	bom dia	
Saudação	e ai?	
Saudação	tudo bem?	
Saudação	ei	
Intenção cadastrar	como cadastro meus produtos novos	
Intenção cadastrar	Como cadastrar os produtos	
Intenção cadastrar	não sei como cadastra produtos na plataforma	
Intenção cadastrar	cadastrar produtos na plataforma	
Intenção cadastrar	cadastrar novos produtos	
Intenção cadastrar	cadastrar produtos	
Intenção cadastrar	o que preciso fazer para cadastrar os produtos	
Intenção cadastrar	como eu cadastro os produtos	
Intenção cadastrar	Não sei como cadastrar produtos	
Intenção cadastrar	como cadastro os produtos	
Duvida	me ajuda	
Duvida	Tenho uma pergunta	
Duvida	consegue me ajudar	
Duvida	consegue tirar a minha duvida	
Duvida	quero fazer uma pergunta	
Duvida	duvida	
Duvida	estou confusa	
Duvida	como funciona	
Duvida	me tira uma duvida	
Duvida	tenho uma duvida	
Começar a vender	sou dona de casa como vender	
Começar a vender	como começo as vendas	
Começar a vender	começar a vender	
Começar a vender	como começar a vender	
Começar a vender	como funciona para vender	
Começar a vender	como começar	
Começar a vender	como eu começo	
Começar a vender	como vender	
Começar a vender	Como começo a vender	
Canais	onde meus produtos serão anunciados	
Canais	onde meus produtos ficarão visiveis	
Canais	Em quais plataformas voces trabalham	
Canais	canais	
Canais	plataforma	
Canais	em qual plataforma	
Canais	em quais plataformas meus produtos serão divulgados	
Canais	Onde os produtos serao ofertados	
Canais	para quais canais voces trabalham	
Canais	Quais sao os canais	
Canais	Quais sao as plataformas	
Canais	onde vao anunciar meus produtos	
Canais	Em quais marketplace posso anunciar	
Canais	marketplace	
